,solddate,price,beds,baths,sqft,sqftlot,href
,"Sold - Jun 6, 2022","$600,000",4bed,3.5bath,"3,590sqft",2.86acre lot,/realestateandhomes-detail/48-Old-Branchville-Rd_Ridgefield_CT_06877_M32962-69079
,"Sold - Jun 6, 2022","$500,000",4bed,2.5bath,"2,687sqft",1.01acre lot,/realestateandhomes-detail/164-Perry-Ave_Norwalk_CT_06850_M48627-88278
"Image for 26 Shut Rd, Newtown, CT 06470 is not found","Sold - Jun 6, 2022","$520,000",4bed,2bath,"1,390sqft",1.01acre lot,/realestateandhomes-detail/26-Shut-Rd_Newtown_CT_06470_M46025-74906
"Image for 222 Guinea Rd, Brewster, NY 10509 is not found","Sold - Jun 6, 2022","$420,000",3bed,2bath,"2,400sqft",3.71acre lot,/realestateandhomes-detail/222-Guinea-Rd_Brewster_NY_10509_M32099-88120
"Image for 9 Willenbarb Rd, Monroe, CT 06468 is not found","Sold - Jun 6, 2022","$255,000",3bed,1.5bath,"1,390sqft",2acre lot,/realestateandhomes-detail/9-Willenbarb-Rd_Monroe_CT_06468_M33049-26150
"Image for 256 Fillow St, Norwalk, CT 06850 is not found","Sold - Jun 6, 2022","$630,000",3bed,3bath,"1,856sqft",1acre lot,/realestateandhomes-detail/256-Fillow-St_Norwalk_CT_06850_M38448-43165
"Image for 44 Pheasant Ridge Rd, Redding, CT 06896 is not found","Sold - Jun 6, 2022","$250,000",3bed,2.5bath,"1,472sqft",2.02acre lot,/realestateandhomes-detail/44-Pheasant-Ridge-Rd_Redding_CT_06896_M49707-13779
"Image for 73 Fair St, Carmel, NY 10512 is not found","Sold - Jun 3, 2022","$492,500",3bed,3bath,"1,600sqft",2.27acre lot,/realestateandhomes-detail/73-Fair-St_Carmel_NY_10512_M36406-27054
"Image for 18 Old Bullet Hole Rd, Mahopac, NY 10541 is not found","Sold - Jun 3, 2022","$480,000",3bed,1.5bath,"1,926sqft",1.38acre lot,/realestateandhomes-detail/18-Old-Bullet-Hole-Rd_Mahopac_NY_10541_M49968-67837
"Image for 51 Saddle Rock Rd, Danbury, CT 06811 is not found","Sold - Jun 2, 2022","$601,000",4bed,2.5bath,"2,128sqft",1.97acre lot,/realestateandhomes-detail/51-Saddle-Rock-Rd_Danbury_CT_06811_M36924-71133
"Image for 21 Briar Ridge Rd, Ridgefield, CT 06877 is not found","Sold - Jun 2, 2022","$675,000",3bed,3.5bath,"2,451sqft",2.71acre lot,/realestateandhomes-detail/21-Briar-Ridge-Rd_Ridgefield_CT_06877_M42221-90059
"Image for 10 Haviland Rd, Stamford, CT 06903 is not found","Sold - Jun 2, 2022","$589,000",3bed,2bath,"2,383sqft",1acre lot,/realestateandhomes-detail/10-Haviland-Rd_Stamford_CT_06903_M37112-02604
"Image for 5 Meadowbrook Ln, Weston, CT 06883 is not found","Sold - Jun 2, 2022","$449,000",3bed,3bath,952sqft,1acre lot,/realestateandhomes-detail/5-Meadowbrook-Ln_Weston_CT_06883_M48066-68917
"Image for 21 Hill Farm Rd, Weston, CT 06883 is not found","Sold - Jun 2, 2022","$725,000",3bed,2bath,"2,052sqft",2.34acre lot,/realestateandhomes-detail/21-Hill-Farm-Rd_Weston_CT_06883_M48579-20960
"Image for 38 Bull Frog Ln, Trumbull, CT 06611 is not found","Sold - Jun 2, 2022","$700,000",3bed,3.5bath,"3,269sqft",1acre lot,/realestateandhomes-detail/38-Bull-Frog-Ln_Trumbull_CT_06611_M41942-46716
"Image for 64 Greenwood Ave, Bethel, CT 06801 is not found","Sold - Jun 2, 2022","$515,000",5bed,2.5bath,"2,688sqft",1.31acre lot,/realestateandhomes-detail/64-1-2-Greenwood-Ave_Bethel_CT_06801_M31980-25078
"Image for 56 Banks Rd, Easton, CT 06612 is not found","Sold - Jun 1, 2022","$670,000",3bed,1.5bath,"1,459sqft",3acre lot,/realestateandhomes-detail/56-Banks-Rd_Easton_CT_06612_M35810-08516
"Image for 195 Deer Run Rd, Wilton, CT 06897 is not found","Sold - Jun 1, 2022","$700,000",4bed,2bath,"2,348sqft",2acre lot,/realestateandhomes-detail/195-Deer-Run-Rd_Wilton_CT_06897_M40232-10745
"Image for 5 Cobbling Rock Dr, Katonah, NY 10536 is not found","Sold - May 31, 2022","$730,000",4bed,2bath,"2,795sqft",1.98acre lot,/realestateandhomes-detail/5-Cobbling-Rock-Dr_Katonah_NY_10536_M40567-27806
"Image for 32 Sunset Hill Rd, Bethel, CT 06801 is not found","Sold - May 31, 2022","$590,000",3bed,3bath,"2,322sqft",1.89acre lot,/realestateandhomes-detail/32-Sunset-Hill-Rd_Bethel_CT_06801_M37108-57581
"Image for 68 Mountain Brook Dr, Brewster, NY 10509 is not found","Sold - May 31, 2022","$475,000",3bed,1.5bath,"1,633sqft",1.12acre lot,/realestateandhomes-detail/68-Mountain-Brook-Dr_Brewster_NY_10509_M44098-51043
"Image for 28 Deer Spring Rd, Redding, CT 06896 is not found","Sold - May 31, 2022","$605,000",4bed,2.5bath,"2,552sqft",2.09acre lot,/realestateandhomes-detail/28-Deer-Spring-Rd_Redding_CT_06896_M45571-50871
"Image for 1 Westwood Ter, Danbury, CT 06811 is not found","Sold - May 31, 2022","$325,000",3bed,1bath,"1,352sqft",1.1acre lot,/realestateandhomes-detail/1-Westwood-Ter_Danbury_CT_06811_M35286-87316
"Image for 159 Plymouth Ave, Trumbull, CT 06611 is not found","Sold - May 31, 2022","$400,500",4bed,2.5bath,"2,554sqft",3.26acre lot,/realestateandhomes-detail/159-Plymouth-Ave_Trumbull_CT_06611_M44927-84181
"Image for 36 Boot Shop Ln, Monroe, CT 06468 is not found","Sold - May 26, 2022","$550,000",3bed,2.5bath,"1,724sqft",1.17acre lot,/realestateandhomes-detail/36-Boot-Shop-Ln_Monroe_CT_06468_M44326-61620
"Image for 5 Sunrise Dr, Putnam Valley, NY 10579 is not found","Sold - May 26, 2022","$645,000",5bed,3bath,"2,749sqft",1acre lot,/realestateandhomes-detail/5-Sunrise-Dr_Putnam-Valley_NY_10579_M39255-54227
"Image for 33 Hartcroft Rd, Stamford, CT 06903 is not found","Sold - May 25, 2022","$770,000",3bed,3bath,"3,692sqft",1.02acre lot,/realestateandhomes-detail/33-Hartcroft-Rd_Stamford_CT_06903_M36501-38245
"Image for 89 Putnam Park Rd, Bethel, CT 06801 is not found","Sold - May 25, 2022","$740,000",3bed,2bath,"2,660sqft",4.23acre lot,/realestateandhomes-detail/89-Putnam-Park-Rd_Bethel_CT_06801_M37684-64614
"Image for 58 Rock House Rd, Easton, CT 06612 is not found","Sold - May 25, 2022","$520,000",5bed,3.5bath,"7,455sqft",3.01acre lot,/realestateandhomes-detail/58-Rock-House-Rd_Easton_CT_06612_M38832-12748
"Image for 78 Raymond St, Darien, CT 06820 is not found","Sold - May 25, 2022","$795,000",3bed,2bath,"1,726sqft",1.5acre lot,/realestateandhomes-detail/78-Raymond-St_Darien_CT_06820_M40212-19906
"Image for 86 Opper Rd, Stamford, CT 06903 is not found","Sold - May 25, 2022","$730,000",2bed,2bath,"1,761sqft",1acre lot,/realestateandhomes-detail/86-Opper-Rd_Stamford_CT_06903_M30306-03323
"Image for 18 Indian Hill Rd, Wilton, CT 06897 is not found","Sold - May 24, 2022","$370,000",2bed,1.5bath,720sqft,1.83acre lot,/realestateandhomes-detail/18-Indian-Hill-Rd_Wilton_CT_06897_M41581-16605
"Image for 273 Daniels Farm Rd, Trumbull, CT 06611 is not found","Sold - May 23, 2022","$540,000",3bed,3bath,"2,092sqft",1.36acre lot,/realestateandhomes-detail/273-Daniels-Farm-Rd_Trumbull_CT_06611_M49581-98720
"Image for 21 Blackman Rd, Ridgefield, CT 06877 is not found","Sold - May 20, 2022","$500,000",4bed,2.5bath,"2,664sqft",1.07acre lot,/realestateandhomes-detail/21-Blackman-Rd_Ridgefield_CT_06877_M38376-23019
"Image for 119 Elm St, Monroe, CT 06468 is not found","Sold - May 20, 2022","$285,000",2bed,1.5bath,"1,532sqft",1.04acre lot,/realestateandhomes-detail/119-Elm-St_Monroe_CT_06468_M38974-40115
"Image for 21 Ferris Dr, Garrison, NY 10524 is not found","Sold - May 20, 2022","$425,000",2bed,1bath,816sqft,1.06acre lot,/realestateandhomes-detail/21-Ferris-Dr_Garrison_NY_10524_M49132-80145
"Image for 59 Flint Ridge Rd, Monroe, CT 06468 is not found","Sold - May 18, 2022","$451,000",3bed,2bath,"1,799sqft",1.02acre lot,/realestateandhomes-detail/59-Flint-Ridge-Rd_Monroe_CT_06468_M33942-38093
"Image for 49 Fox Run Ln, Greenwich, CT 06831 is not found","Sold - May 16, 2022","$488,889",6bed,8.5+bath,"8,321sqft",2.2acre lot,/realestateandhomes-detail/49-Fox-Run-Ln_Greenwich_CT_06831_M42398-39595
"Image for 25 Wood Glen Dr, Mahopac, NY 10541 is not found","Sold - May 16, 2022","$775,000",3bed,2.5bath,"2,924sqft",10.19acre lot,/realestateandhomes-detail/25-Wood-Glen-Dr_Mahopac_NY_10541_M48996-96969
"Image for 18 Fern Ln, Newtown, CT 06470 is not found","Sold - May 12, 2022","$301,500",3bed,1.5bath,"1,309sqft",1.05acre lot,/realestateandhomes-detail/18-Fern-Ln_Newtown_CT_06470_M32267-66599
"Image for 16 N Calvin Rd, Weston, CT 06883 is not found","Sold - May 12, 2022","$790,000",3bed,2bath,"2,021sqft",2.01acre lot,/realestateandhomes-detail/16-N-Calvin-Rd_Weston_CT_06883_M35928-03630
,"Sold - May 12, 2022","$790,000",3bed,2bath,"2,021sqft",2.01acre lot,/realestateandhomes-detail/16-N-Calvin-Rd_Weston_CT_06883_M35928-03630
,"Sold - May 12, 2022","$370,000",3bed,1bath,"1,040sqft",1.06acre lot,/realestateandhomes-detail/4-Melody-Ln_Newtown_CT_06470_M49074-21504
,"Sold - May 11, 2022","$760,000",4bed,2.5bath,"3,155sqft",1.8acre lot,/realestateandhomes-detail/6-Kayla-Ln_Mahopac_NY_10541_M40813-55948
"Image for 94 Red Fox Rd, Stamford, CT 06903 is not found","Sold - May 11, 2022","$437,500",3bed,3bath,"3,376sqft",1.55acre lot,/realestateandhomes-detail/94-Red-Fox-Rd_Stamford_CT_06903_M36681-71813
"Image for 355 Cascade Rd, Stamford, CT 06903 is not found","Sold - May 11, 2022","$750,000",4bed,3bath,"3,088sqft",1.63acre lot,/realestateandhomes-detail/355-Cascade-Rd_Stamford_CT_06903_M49761-83649
"Image for 30 Bob White Ter, Monroe, CT 06468 is not found","Sold - May 10, 2022","$445,000",3bed,1bath,"1,660sqft",1.13acre lot,/realestateandhomes-detail/30-Bob-White-Ter_Monroe_CT_06468_M30080-70543
"Image for 28 Laurel Ledge Ct, Stamford, CT 06903 is not found","Sold - May 10, 2022","$655,000",4bed,2.5bath,"3,176sqft",1.42acre lot,/realestateandhomes-detail/28-Laurel-Ledge-Ct_Stamford_CT_06903_M34204-16455
"Image for 165 Lake Ave, Trumbull, CT 06611 is not found","Sold - May 10, 2022","$635,000",4bed,2.5bath,"2,000sqft",1.02acre lot,/realestateandhomes-detail/165-Lake-Ave_Trumbull_CT_06611_M43362-29957
"Image for 18 Tubbs Spring Ct, Weston, CT 06883 is not found","Sold - May 10, 2022","$785,000",4bed,3.5bath,"2,555sqft",2acre lot,/realestateandhomes-detail/18-Tubbs-Spring-Ct_Weston_CT_06883_M32554-43276
"Image for 54 Kings Ridge Rd, Mahopac, NY 10541 is not found","Sold - May 9, 2022","$597,500",3bed,2.5bath,"2,265sqft",1.75acre lot,/realestateandhomes-detail/54-Kings-Ridge-Rd_Mahopac_NY_10541_M40821-79834
"Image for 9 Old Fire Rd, Trumbull, CT 06611 is not found","Sold - May 9, 2022","$671,250",4bed,2.5bath,"2,628sqft",1acre lot,/realestateandhomes-detail/9-Old-Fire-Rd_Trumbull_CT_06611_M44020-04346
"Image for 147 Slice Dr, Stamford, CT 06907 is not found","Sold - May 9, 2022","$730,000",4bed,2.5bath,"2,166sqft",1.06acre lot,/realestateandhomes-detail/147-Slice-Dr_Stamford_CT_06907_M30142-22572
"Image for 21 Barton Rd, Monroe, CT 06468 is not found","Sold - May 9, 2022","$532,000",3bed,2.5bath,"2,093sqft",1.27acre lot,/realestateandhomes-detail/21-Barton-Rd_Monroe_CT_06468_M45878-77603
"Image for 220 Butternut Ln, Stamford, CT 06903 is not found","Sold - May 9, 2022","$795,000",4bed,3.5bath,"3,452sqft",1acre lot,/realestateandhomes-detail/220-Butternut-Ln_Stamford_CT_06903_M46125-49308
"Image for 185 Lonetown Rd, Redding, CT 06896 is not found","Sold - May 9, 2022","$600,000",4bed,3.5bath,"3,439sqft",3.21acre lot,/realestateandhomes-detail/185-Lonetown-Rd_Redding_CT_06896_M44162-11077
"Image for 260 Bennetts Farm Rd, Ridgefield, CT 06877 is not found","Sold - May 6, 2022","$500,000",3bed,2bath,"1,170sqft",1.51acre lot,/realestateandhomes-detail/260-Bennetts-Farm-Rd_Ridgefield_CT_06877_M41867-84081
"Image for 6 Bishop Park Rd, Pound Ridge, NY 10576 is not found","Sold - May 6, 2022","$765,000",2bed,2bath,"1,798sqft",3.37acre lot,/realestateandhomes-detail/6-Bishop-Park-Rd_Pound-Ridge_NY_10576_M30630-34078
"Image for 86 Chatham Rd, Stamford, CT 06903 is not found","Sold - May 6, 2022","$799,000",4bed,2.5bath,"3,154sqft",1.52acre lot,/realestateandhomes-detail/86-Chatham-Rd_Stamford_CT_06903_M32963-58132
"Image for 35 Partridge Ln, Putnam Valley, NY 10579 is not found","Sold - May 6, 2022","$555,000",4bed,2.5bath,"2,118sqft",1acre lot,/realestateandhomes-detail/35-Partridge-Ln_Putnam-Valley_NY_10579_M37794-34466
"Image for 71 Grandview Dr, Ridgefield, CT 06877 is not found","Sold - May 6, 2022","$635,000",3bed,2bath,"1,298sqft",1.09acre lot,/realestateandhomes-detail/71-Grandview-Dr_Ridgefield_CT_06877_M44660-43681
"Image for 22 Pheasant Ln, Stamford, CT 06903 is not found","Sold - May 6, 2022","$635,000",3bed,2bath,"2,223sqft",1.06acre lot,/realestateandhomes-detail/22-Pheasant-Ln_Stamford_CT_06903_M31689-28021
"Image for 18 Mariana Farms Dr, Danbury, CT 06811 is not found","Sold - May 5, 2022","$670,000",4bed,2.5bath,"2,756sqft",1.87acre lot,/realestateandhomes-detail/18-Mariana-Farms-Dr_Danbury_CT_06811_M37101-35190
"Image for 161 Mexico Ln, Mahopac, NY 10541 is not found","Sold - May 3, 2022","$420,000",2bed,1.5bath,"1,327sqft",1.27acre lot,/realestateandhomes-detail/161-Mexico-Ln_Mahopac_NY_10541_M38860-60551
"Image for 459 Oscawana Lake Rd, Putnam Valley, NY 10579 is not found","Sold - May 3, 2022","$560,000",3bed,2bath,"1,911sqft",1.47acre lot,/realestateandhomes-detail/459-Oscawana-Lake-Rd_Putnam-Valley_NY_10579_M36131-16565
"Image for 9 Rocco Dr, Brewster, NY 10509 is not found","Sold - May 3, 2022","$525,000",3bed,1.5bath,"1,746sqft",1acre lot,/realestateandhomes-detail/9-Rocco-Dr_Brewster_NY_10509_M46950-21407
"Image for 20 Weatherbell Dr, Norwalk, CT 06851 is not found","Sold - May 2, 2022","$630,020",5bed,2.5bath,"2,635sqft",1.35acre lot,/realestateandhomes-detail/20-Weatherbell-Dr_Norwalk_CT_06851_M38742-85551
"Image for 21 Drew Ln, Carmel, NY 10512 is not found","Sold - May 2, 2022","$665,000",4bed,4bath,"3,859sqft",1.7acre lot,/realestateandhomes-detail/21-Drew-Ln_Carmel_NY_10512_M30405-22209
"Image for 109 Sanfordtown Rd, Redding, CT 06896 is not found","Sold - May 2, 2022","$735,000",4bed,4bath,"2,472sqft",2.72acre lot,/realestateandhomes-detail/109-Sanfordtown-Rd_Redding_CT_06896_M43972-88018
"Image for 12 Beauiles Ln, Redding, CT 06896 is not found","Sold - May 2, 2022","$586,500",3bed,2bath,"2,053sqft",2.07acre lot,/realestateandhomes-detail/12-Beauiles-Ln_Redding_CT_06896_M45194-00471
"Image for 327 Fan Hill Rd, Monroe, CT 06468 is not found","Sold - May 2, 2022","$540,000",4bed,2.5bath,"2,567sqft",1.71acre lot,/realestateandhomes-detail/327-Fan-Hill-Rd_Monroe_CT_06468_M30368-94970
"Image for 68 Parry Rd, Stamford, CT 06907 is not found","Sold - May 2, 2022","$450,000",3bed,2.5bath,"2,790sqft",1.04acre lot,/realestateandhomes-detail/68-Parry-Rd_Stamford_CT_06907_M42255-47143
"Image for 31 E Maiden Ln, Monroe, CT 06468 is not found","Sold - Apr 29, 2022","$420,000",3bed,1.5bath,"1,608sqft",1acre lot,/realestateandhomes-detail/31-E-Maiden-Ln_Monroe_CT_06468_M46347-06188
"Image for 50 Sherwood Dr, Easton, CT 06612 is not found","Sold - Apr 29, 2022","$800,000",4bed,2.5bath,"2,387sqft",3.03acre lot,/realestateandhomes-detail/50-Sherwood-Dr_Easton_CT_06612_M38946-90659
"Image for 215 Eden Rd, Stamford, CT 06907 is not found","Sold - Apr 29, 2022","$720,000",4bed,2.5bath,"2,744sqft",1acre lot,/realestateandhomes-detail/215-Eden-Rd_Stamford_CT_06907_M37357-34967
"Image for 22 Maplecrest Dr, Danbury, CT 06811 is not found","Sold - Apr 28, 2022","$645,000",4bed,2.5bath,"2,544sqft",1.3acre lot,/realestateandhomes-detail/22-Maplecrest-Dr_Danbury_CT_06811_M37068-93053
"Image for 2 Brightview Ct, Mahopac, NY 10541 is not found","Sold - Apr 27, 2022","$560,000",3bed,2bath,"2,196sqft",1.38acre lot,/realestateandhomes-detail/2-Brightview-Ct_Mahopac_NY_10541_M34437-88345
"Image for 88 Peekskill Hollow Rd, Putnam Valley, NY 10579 is not found","Sold - Apr 27, 2022","$606,500",3bed,2bath,"2,445sqft",1.39acre lot,/realestateandhomes-detail/88-Peekskill-Hollow-Rd_Putnam-Valley_NY_10579_M39126-22945
"Image for 40 Dads Ln, Stamford, CT 06903 is not found","Sold - Apr 27, 2022","$750,000",3bed,2.5bath,"2,360sqft",1.05acre lot,/realestateandhomes-detail/40-Dads-Ln_Stamford_CT_06903_M39811-27866
"Image for 48 Country Ridge Dr, Monroe, CT 06468 is not found","Sold - Apr 26, 2022","$710,000",4bed,4bath,"3,010sqft",1acre lot,/realestateandhomes-detail/48-Country-Ridge-Dr_Monroe_CT_06468_M47769-42251
"Image for 22 McIntosh Ct, Stamford, CT 06903 is not found","Sold - Apr 26, 2022","$737,000",4bed,2.5bath,"2,469sqft",1.06acre lot,/realestateandhomes-detail/22-McIntosh-Ct_Stamford_CT_06903_M32613-10293
"Image for 48 Cherry Hill Rd, Carmel, NY 10512 is not found","Sold - Apr 26, 2022","$725,000",4bed,3.5bath,"3,039sqft",1.59acre lot,/realestateandhomes-detail/48-Cherry-Hill-Rd_Carmel_NY_10512_M43259-73630
"Image for 420 Sprout Brook Rd, Garrison, NY 10524 is not found","Sold - Apr 25, 2022","$463,000",2bed,1bath,"1,728sqft",1.15acre lot,/realestateandhomes-detail/420-Sprout-Brook-Rd_Garrison_NY_10524_M46978-08465
