,price,typ,lat,lon,beds,baths,sqft,zip code,locality
"532 Salt Point Tpke Poughkeepsie, NY 12601","$325,000",SingleFamilyResidence,41.741146,-73.878426,4bd,Error,"1,616 sqft (on 6.32 acres)",12601,Poughkeepsie
"2319 State Route 32 New Windsor, NY 12553","$500,000",SingleFamilyResidence,41.443611,-74.058403,2bd,Error,675 sqft (on 18.10 acres),12553,New Windsor
"211 Ruby Rd Kingston, NY 12401","$515,000",SingleFamilyResidence,42.000633,-74.028008,3bd,Error,"2,200 sqft (on 2 acres)",12401,Kingston
"295 W Clove Mountain Rd Lagrangeville, NY 12540","$379,000",SingleFamilyResidence,41.665035,-73.701965,3bd,Error,"1,300 sqft (on 3 acres)",12540,Lagrangeville
"2464 Route 82 Lagrangeville, NY 12540","$595,000",SingleFamilyResidence,41.67992,-73.749489,4bd,Error,"2,740 sqft (on 5 acres)",12540,Lagrangeville
Error,Error,Error,Error,Error,,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error
"231 Barmore Rd Lagrangeville, NY 12540","$479,000",SingleFamilyResidence,41.691345,-73.739044,4bd,Error,"2,800 sqft (on 3.13 acres)",12540,Lagrangeville
"5 Friendship Ln Milan, NY 12571","$465,000",SingleFamilyResidence,41.969585,-73.748192,3bd,Error,"1,658 sqft (on 5.24 acres)",12571,Milan
"18 Brill Ln Poughquag, NY 12570","$415,000",SingleFamilyResidence,41.597141,-73.682732,4bd,Error,"1,954 sqft (on 2.11 acres)",12570,Poughquag
"517 Rossway Rd Pleasant Valley, NY 12569","$378,300",SingleFamilyResidence,41.707867,-73.777237,4bd,Error,"2,552 sqft (on 2.10 acres)",12569,Pleasant Valley
"75 Tao Rd Catskill, NY 12414","$319,000",SingleFamilyResidence,42.239983,-73.96151,3bd,Error,"1,352 sqft (on 7.10 acres)",12414,Catskill
"21 Glen Rock Cir Plattekill, NY 12528","$599,000",SingleFamilyResidence,41.666206,-74.044029,4bd,Error,"2,560 sqft (on 2.60 acres)",12528,Plattekill
"35 Dring Ln Putnam Valley, NY 10579","$375,000",SingleFamilyResidence,41.357937,-73.80806,2bd,Error,"1,000 sqft (on 2.70 acres)",10579,Putnam Valley
"470 Rossway Rd Pleasant Valley, NY 12569","$350,000",SingleFamilyResidence,41.715076,-73.775826,3bd,Error,"1,724 sqft (on 2.30 acres)",12569,Pleasant Valley
"255 Rudolph Weir Junior Rd Earlton, NY 12058","$299,900",SingleFamilyResidence,42.285149,-73.926987,4bd,Error,"1,837 sqft (on 2 acres)",12058,Earlton
"2407 Route 52 Hopewell Junction, NY 12533","$369,900",SingleFamilyResidence,41.554409,-73.800171,2bd,Error,"1,040 sqft (on 2.10 acres)",12533,Hopewell Junction
"127 Dave Elliot Rd Saugerties, NY 12477","$599,000",SingleFamilyResidence,42.132904,-73.963768,3bd,Error,"1,898 sqft (on 16.55 acres)",12477,Saugerties
"11 Ashby Pl Poughquag, NY 12570","$525,000",SingleFamilyResidence,41.59761,-73.683083,4bd,Error,"1,960 sqft (on 2.30 acres)",12570,Poughquag
"51 Paradise Lake Rd Catskill, NY 12414","$525,000",SingleFamilyResidence,42.239735,-73.955177,3bd,Error,"2,038 sqft (on 2.66 acres)",12414,Catskill
"1 Skyline Dr Saugerties, NY 12477","$449,000",SingleFamilyResidence,42.057518,-73.965042,3bd,Error,"2,149 sqft (on 4.73 acres)",12477,Saugerties
"1285 Salt Point Tpke Pleasant Valley, NY 12569","$550,000",SingleFamilyResidence,41.770695,-73.824364,3bd,Error,"2,408 sqft (on 2.53 acres)",12569,Pleasant Valley
"157 Indian Ridge Rd Earlton, NY 12058","$540,000",SingleFamilyResidence,42.283001,-73.936493,3bd,Error,"1,988 sqft (on 11 acres)",12058,Earlton
"52 Travis Rd Hyde Park, NY 12538","$525,500",SingleFamilyResidence,41.779026,-73.840919,3bd,Error,"2,128 sqft (on 4.50 acres)",12538,Hyde Park
"20-30 Coy Rd Clintondale, NY 12515","$549,000",SingleFamilyResidence,41.675659,-74.061279,3bd,Error,"1,344 sqft (on 3 acres)",12515,Clintondale
"159161 E Dorsey Ln Poughkeepsie, NY 12601","$279,900",SingleFamilyResidence,41.745506,-73.911385,2bd,Error,"1,196 sqft (on 2.18 acres)",12601,Poughkeepsie
"383 Upper North Rd Lloyd, NY 12528","$299,900",SingleFamilyResidence,41.762863,-73.962624,4bd,Error,"2,691 sqft (on 2 acres)",12528,Lloyd
"127 Overhill Rd Stormville, NY 12582","$475,000",SingleFamilyResidence,41.542271,-73.726631,3bd,Error,"1,548 sqft (on 2.10 acres)",12582,Stormville
"86 Parksville Rd Pleasant Valley, NY 12569","$375,000",SingleFamilyResidence,41.744164,-73.800926,3bd,Error,"1,532 sqft (on 3.43 acres)",12569,Pleasant Valley
"1262 Turkey Hill Rd Milan, NY 12571","$449,500",SingleFamilyResidence,42.015015,-73.756096,3bd,Error,"2,142 sqft (on 3.19 acres)",12571,Milan
"422 Church Ave Germantown, NY 12526","$475,000",SingleFamilyResidence,42.108227,-73.877312,3bd,Error,"1,296 sqft (on 9.40 acres)",12526,Germantown
"620 Ulster Landing Rd Ulster, NY 12477","$449,900",SingleFamilyResidence,41.99305,-73.954208,3bd,Error,"2,015 sqft (on 2.60 acres)",12477,Ulster
"11 Verbank Village Rd Verbank, NY 12585","$549,000",SingleFamilyResidence,41.727604,-73.731476,4bd,Error,"2,464 sqft (on 25 acres)",12585,Verbank
"109 Gretna Rd Pleasant Valley, NY 12569","$319,000",SingleFamilyResidence,41.761227,-73.847198,4bd,Error,"1,909 sqft (on 2.10 acres)",12569,Pleasant Valley
"1246 Woods Rd Germantown, NY 12526","$550,000",SingleFamilyResidence,42.129009,-73.897285,3bd,Error,"1,275 sqft (on 3.13 acres)",12526,Germantown
"8 Chillura Ln Marlboro, NY 12542","$485,000",SingleFamilyResidence,41.606403,-73.988968,3bd,Error,"2,276 sqft (on 2.39 acres)",12542,Marlboro
"21 Kelley Cir Poughkeepsie, NY 12601","$525,000",SingleFamilyResidence,41.752155,-73.88047,2bd,Error,"1,800 sqft (on 4.50 acres)",12601,Poughkeepsie
"3311 Lexington Ave Mohegan Lake, NY 10547","$425,000",SingleFamilyResidence,41.313511,-73.859756,2bd,Error,"1,600 sqft (on 4.18 acres)",10547,Mohegan Lake
